Date,Event,Location,url
2012-10-05,UFC on FX: Browne vs Bigfoot,"Minneapolis, Minnesota, USA",http://ufcstats.com/event-details/6a0b80a24f22e152
2012-10-13,UFC 153: Silva vs Bonnar,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/96d173b7f92aa520
2012-11-10,UFC Macao: Franklin vs Le,"Macau, China",http://ufcstats.com/event-details/319fa1bd3176bded
2012-11-17,UFC 154: St-Pierre vs Condit,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/d41937647eae9a34
2012-12-08,UFC on FOX: Henderson vs Diaz,"Seattle, Washington, USA",http://ufcstats.com/event-details/d1e6a6536ee62517
2012-12-14,UFC on FX: Sotiropoulos vs Pearson,"Gold Coast, Queensland, Australia",http://ufcstats.com/event-details/e8c170a64dc920ac
2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c6da1c24fe473418
2012-12-29,UFC 155: Dos Santos vs Velasquez II,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c6e6926a81adcd00
2013-01-19,UFC on FX: Belfort vs Bisping,"Sao Paulo, Brazil",http://ufcstats.com/event-details/56f4b81ec4db61af
2013-01-26,UFC on FOX: Johnson vs Dodson,"Chicago, Illinois, USA",http://ufcstats.com/event-details/738acab0c6934dd8
2013-02-02,UFC 156: Aldo vs Edgar,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/601cf40c09090853
2013-02-16,UFC on FUEL TV: Barao vs McDonald,"London, England, United Kingdom",http://ufcstats.com/event-details/4679a38cced7c64a
2013-02-23,UFC 157: Rousey vs Carmouche,"Anaheim, California, USA",http://ufcstats.com/event-details/09c44b317c98bf96
2013-03-02,UFC on FUEL TV: Silva vs. Stann,"Saitama, Japan",http://ufcstats.com/event-details/83c6c3e0f8bde8ee
2013-03-16,UFC 158: St-Pierre vs Diaz,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/f1b2a4365799c48b
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,"Stockholm, Sweden",http://ufcstats.com/event-details/6291ac0a3726732f
2013-04-13,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/ce47f49e5c386a9c
2013-04-20,UFC on FOX: Henderson vs Melendez,"San Jose, California, USA",http://ufcstats.com/event-details/aa79d5399571068e
2013-04-27,UFC 159: Jones vs Sonnen,"Newark, New Jersey, USA",http://ufcstats.com/event-details/ea0ad155451ed1f5
2013-05-18,UFC on FX: Belfort vs. Rockhold,"Jaragua do Sul, Santa Catarina, Brazil",http://ufcstats.com/event-details/030f08370fd1c2bb
2013-05-25,UFC 160: Velasquez vs Silva 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3c241737a6069b9f
2013-06-08,UFC on FUEL TV: Nogueira vs. Werdum,"Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/7865707fd684d77b
2013-06-15,UFC 161: Evans vs Henderson,"Winnipeg, Manitoba, Canada",http://ufcstats.com/event-details/8fd1f27e86661ede
2013-07-06,UFC 162: Silva vs Weidman,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e0b74df14f52cd15
2013-07-27,UFC on FOX: Johnson vs Moraga,"Seattle, Washington, USA",http://ufcstats.com/event-details/5330fe7e4c3af81c
2013-08-03,UFC 163: Aldo vs Jung,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/ebc5af72ad5a28cb
2013-08-17,UFC Fight Night: Shogun vs Sonnen,"Boston, Massachusetts, USA",http://ufcstats.com/event-details/cf1a88371c8cb690
2013-08-28,UFC Fight Night: Condit vs Kampmann 2,"Indianapolis, Indiana, USA",http://ufcstats.com/event-details/e5c38954c006f15c
2013-08-31,UFC 164: Henderson vs Pettis 2,"Milwaukee, Wisconsin, USA",http://ufcstats.com/event-details/980b4e712489098e
2013-09-04,UFC Fight Night: Teixeira vs Bader,"Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/b23fca14c7b79935
2013-09-21,UFC 165: Jones vs Gustafsson,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/df5a77121ba84a5d
2013-10-09,UFC Fight Night: Maia vs Shields,"Barueri, Sao Paulo, Brazil",http://ufcstats.com/event-details/43612456979e5d5e
2013-10-19,UFC 166: Velasquez vs Dos Santos 3,"Houston, Texas, USA",http://ufcstats.com/event-details/eae4aec1a5a8ff01
2013-10-26,UFC Fight Night: Machida vs Munoz,"Manchester, England, United Kingdom",http://ufcstats.com/event-details/60884f31ead1609c
2013-11-06,UFC Fight Night: Fight for the Troops 3,"Fort Campbell, Kentucky, USA",http://ufcstats.com/event-details/35dc6220b113b7ec
2013-11-09,UFC Fight Night: Belfort vs Henderson 2,"Goiania, Goias, Brazil",http://ufcstats.com/event-details/5d7c18191b8aa432
2013-11-16,UFC 167: St-Pierre vs Hendricks,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/28f3c2258a1d8874
2013-11-30,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9a967e8e43dcef63
2013-12-06,UFC Fight Night: Hunt vs Bigfoot,"Brisbane, Queensland, Australia",http://ufcstats.com/event-details/ee457ef1e1c326c1
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2,"Sacramento, California, USA",http://ufcstats.com/event-details/480b702debcb5433
2013-12-28,UFC 168: Weidman vs Silva 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/83d0de122f2f9664
2014-01-04,UFC Fight Night: Saffiedine vs Lim,"Singapore, Singapore",http://ufcstats.com/event-details/e5c9de15bb58b1c6
2014-01-15,UFC Fight Night: Rockhold vs Philippou,"Duluth, Georgia, USA",http://ufcstats.com/event-details/30a09e43f15f1d75
2014-01-25,UFC on FOX: Henderson vs Thomson,"Chicago, Illinois, USA",http://ufcstats.com/event-details/a8d521d913df4e31
2014-02-01,UFC 169: Barao vs Faber 2,"Newark, New Jersey, USA",http://ufcstats.com/event-details/fc31f896cde2bc2e
2014-02-15,UFC Fight Night: Machida vs Mousasi,"Jaragua do Sul, Santa Catarina, Brazil",http://ufcstats.com/event-details/51b0bb73a1da34bc
2014-02-22,UFC 170: Rousey vs McMann,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3138fab619faf4d1
2014-03-01,UFC Fight Night: Kim vs Hathaway,"Macau, China",http://ufcstats.com/event-details/a26198ba5093147e
2014-03-08,UFC Fight Night: Gustafsson vs Manuwa,"London, England, United Kingdom",http://ufcstats.com/event-details/ebc1f40e00e0c481
2014-03-15,UFC 171: Hendricks vs Lawler,"Dallas, Texas, USA",http://ufcstats.com/event-details/179f1948dc234f1f
2014-03-23,UFC Fight Night: Shogun vs Henderson 2,"Natal, Rio Grande do Norte, Brazil",http://ufcstats.com/event-details/d5f820c11a121050
2014-04-11,UFC Fight Night: Minotauro vs Nelson,"Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/d632d156c0549e07
2014-04-16,UFC Fight Night: Bisping vs Kennedy,"Quebec City, Quebec, Canada",http://ufcstats.com/event-details/f9f07bb5a43535ed
2014-04-19,UFC on FOX: Werdum vs Browne,"Orlando, Florida, USA",http://ufcstats.com/event-details/a421465acbe59c77
2014-04-26,UFC 172: Jones vs Teixeira,"Baltimore, Maryland, USA",http://ufcstats.com/event-details/4f2fcbefb668689d
2014-05-10,UFC Fight Night: Brown vs Silva,"Cincinnati, Ohio, USA",http://ufcstats.com/event-details/579fcdfcabd23a7b
2014-05-24,UFC 173: Barao vs Dillashaw,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9ca265dfe8323db3
2014-05-31,UFC Fight Night: Munoz vs Mousasi,"Berlin, Germany",http://ufcstats.com/event-details/b757c73f443d4fca
2014-05-31,UFC Fight Night: Miocic vs Maldonado,"Sao Paulo, Brazil",http://ufcstats.com/event-details/59aaf2730b84698a
2014-06-07,UFC Fight Night: Henderson vs Khabilov,"Albuquerque, New Mexico, USA",http://ufcstats.com/event-details/1fcfc3709fe58151
2014-06-14,UFC 174: Johnson vs Bagautinov,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/5b5307450405abf0
2014-06-28,UFC Fight Night: Swanson vs Stephens,"San Antonio, Texas, USA",http://ufcstats.com/event-details/c0ed7b208197e8de
2014-06-28,UFC Fight Night: Te Huna vs Marquardt,"Auckland, New Zealand",http://ufcstats.com/event-details/ac9521250dc1a14c
2014-07-05,UFC 175: Weidman vs Machida,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/53adf5b845d91e4a
2014-07-06,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1c5879330d42255f
2014-07-16,UFC Fight Night: Cowboy vs Miller,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/79ded75550efc139
2014-07-19,UFC Fight Night: McGregor vs Brandao,"Dublin, Leinster, Ireland",http://ufcstats.com/event-details/073eee4e62f0d988
2014-07-26,UFC on FOX: Lawler vs Brown,"San Jose, California, USA",http://ufcstats.com/event-details/05fbfe628658c538
2014-08-16,UFC Fight Night: Bader vs Saint Preux,"Bangor, Maine, USA",http://ufcstats.com/event-details/fd7acf42bd6e7e95
2014-08-23,UFC Fight Night: Bisping vs Le,"Macau, China",http://ufcstats.com/event-details/770b9d4813c25902
2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,"Tulsa, Oklahoma, USA",http://ufcstats.com/event-details/063649e21bc9d6d5
2014-08-30,UFC 177: Dillashaw vs Soto,"Sacramento, California, USA",http://ufcstats.com/event-details/269d103c96a4c3a5
2014-09-05,UFC Fight Night: Jacare vs Mousasi,"Ledyard, Connecticut, USA",http://ufcstats.com/event-details/9bcfb40dbcd50568
2014-09-13,UFC Fight Night: Bigfoot vs Arlovski,"Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/a71feb7ea7592a71
2014-09-20,UFC Fight Night: Hunt vs Nelson,"Saitama, Japan",http://ufcstats.com/event-details/2dea80c069847321
2014-09-27,UFC 178: Johnson vs Cariaso,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3bb030257966b022
2014-10-04,UFC Fight Night: Nelson vs Story,"Stockholm, Sweden",http://ufcstats.com/event-details/8dc4f34c1f50d00d
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,"Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/0313bf497de9c470
2014-10-25,UFC 179: Aldo vs Mendes 2,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/53f02bbc41d99432
2014-11-07,UFC Fight Night: Rockhold vs Bisping,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/371a1c91b24dec2b
2014-11-08,UFC Fight Night 56: Shogun vs Saint Preux,"Uberlandia, Minas Gerais, Brazil",http://ufcstats.com/event-details/6ca68b636fbc1f18
2014-11-15,UFC 180: Werdum vs Hunt,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/59851163aaf1aed8
2014-11-22,UFC Fight Night: Edgar vs Swanson,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057
2014-12-06,UFC 181: Hendricks vs Lawler II,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23
2014-12-12,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/222d6b547de2e035
2014-12-13,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",http://ufcstats.com/event-details/d4a12dfa4067742f
2014-12-20,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",http://ufcstats.com/event-details/4e5bbc4566049cbf
2015-01-03,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a72d260b436924c4
2015-01-18,UFC Fight Night: McGregor vs Siver,"Boston, Massachusetts, USA",http://ufcstats.com/event-details/f9aa6376ae16bfb4
2015-01-24,UFC on FOX: Gustafsson vs Johnson,"Stockholm, Sweden",http://ufcstats.com/event-details/706404da0775dcbc
2015-01-31,UFC 183: Silva vs Diaz,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/43563a32c3f10e95
2015-02-14,UFC Fight Night: Henderson vs Thatch,"Broomfield, Colorado, USA",http://ufcstats.com/event-details/f9c7fe2682af3802
2015-02-22,UFC Fight Night: Bigfoot vs Mir,"Porto Alegre, Rio Grande do Sul, Brazil",http://ufcstats.com/event-details/0577808d22dfe79c
2015-02-28,UFC 184: Rousey vs Zingano,"Los Angeles, California, USA",http://ufcstats.com/event-details/ad4e9055bf8cd04d
2015-03-14,UFC 185: Pettis vs Dos Anjos,"Dallas, Texas, USA",http://ufcstats.com/event-details/f54200f1dfb9b5d4
2015-03-21,UFC Fight Night: Maia vs LaFlare,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/fa534853eb195270
2015-04-04,UFC Fight Night: Mendes vs Lamas,"Fairfax, Virginia, USA",http://ufcstats.com/event-details/16d09e800ad7ec79
2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2,"Krakow, Poland",http://ufcstats.com/event-details/5de61b03868035ff
2015-04-18,UFC on FOX: Machida vs Rockhold,"Newark, New Jersey, USA",http://ufcstats.com/event-details/bc7cf284c1c2f16e
2015-04-25,UFC 186: Johnson vs Horiguchi,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/997b4f52f76a0b53
2015-05-09,UFC Fight Night: Miocic vs Hunt,"Adelaide, South Australia, Australia",http://ufcstats.com/event-details/8a1b4330c7957961
2015-05-16,UFC Fight Night: Edgar vs Faber,"Manila, Philippines",http://ufcstats.com/event-details/b1605ea39fba6af6
2015-05-23,UFC 187: Johnson vs Cormier,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4f7e290e71d60f87
2015-05-30,UFC Fight Night: Condit vs Alves,"Goiania, Goias, Brazil",http://ufcstats.com/event-details/aae0897825336b1a
2015-06-06,UFC Fight Night: Boetsch vs Henderson,"New Orleans, Louisiana, USA",http://ufcstats.com/event-details/06dc1a58663579d2
2015-06-13,UFC 188: Velasquez vs Werdum,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/a58114c6dd0add64
2015-06-20,UFC Fight Night: Jedrzejczyk vs Penne,"Berlin, Berlin, Germany",http://ufcstats.com/event-details/194fc025f9355db6
2015-06-27,UFC Fight Night: Machida vs Romero,"Hollywood, Florida, USA",http://ufcstats.com/event-details/86e388ed20761ad9
2015-07-11,UFC 189: Mendes vs McGregor,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3be081c29bf734d9
2015-07-12,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a890f9a791ed615d
2015-07-15,UFC Fight Night: Mir vs Duffee,"San Diego, California, USA",http://ufcstats.com/event-details/36877f0e62b25b96
2015-07-18,UFC Fight Night: Bisping vs Leites,"Glasgow, Scotland, United Kingdom",http://ufcstats.com/event-details/ef7fa30364cbe7f2
2015-07-25,UFC on FOX: Dillashaw vs. Barao II,"Chicago, Illinois, USA",http://ufcstats.com/event-details/0c3838c8f7c620c2
2015-08-01,UFC 190: Rousey vs Correia,"Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/a9c45a8b21eabadc
2015-08-08,UFC Fight Night: Teixeira vs Saint Preux,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/b71667c778b6d9e5
2015-08-23,UFC Fight Night: Holloway vs Oliveira,"Saskatoon, Saskatchewan, Canada",http://ufcstats.com/event-details/2ce6541127b0e232
2015-09-05,UFC 191: Johnson vs Dodson 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/82f5c81f4e3c3eb5
2015-09-26,UFC Fight Night: Barnett vs Nelson,"Saitama, Japan",http://ufcstats.com/event-details/a4dd5c9a75763295
2015-10-03,UFC 192: Cormier vs Gustafsson,"Houston, Texas, USA",http://ufcstats.com/event-details/119ebea97e914dcf
2015-10-24,UFC Fight Night: Holohan vs Smolka,"Dublin, Leinster, Ireland",http://ufcstats.com/event-details/f3155a94ca420126
2015-11-07,UFC Fight Night: Belfort vs Henderson 3,"Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/5345f86680378fc1
2015-11-14,UFC 193: Rousey vs Holm,"Melbourne, Victoria, Australia",http://ufcstats.com/event-details/8d04923f2db59b7f
2015-11-21,UFC Fight Night: Magny vs Gastelum,"Monterrey, Nuevo Leon, Mexico",http://ufcstats.com/event-details/243b07fc65ccbb16
2015-11-28,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",http://ufcstats.com/event-details/4d636c3aa1105950
2015-12-10,UFC Fight Night: Namajunas vs. VanZant,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dd39f1ca787a3d9d
2015-12-11,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20fbff570c678e1c
2015-12-12,UFC 194: Aldo vs McGregor,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/354808cf38d9d73c
2015-12-19,UFC on FOX: Dos Anjos vs. Cowboy 2,"Orlando, Florida, USA",http://ufcstats.com/event-details/80d918336163b80c
2016-01-02,UFC 195: Lawler vs Condit,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/380e8b023290d091
2016-01-17,UFC Fight Night: Dillashaw vs Cruz,"Boston, Massachusetts, USA",http://ufcstats.com/event-details/c6becb722706c7d8
2016-01-30,UFC on FOX: Johnson vs. Bader,"Newark, New Jersey, USA",http://ufcstats.com/event-details/b3fb8d2293e17a59
2016-02-06,UFC Fight Night: Hendricks vs Thompson,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/de99da2c0d18d34a
2016-02-21,UFC Fight Night: Cowboy vs Cowboy,"Pittsburgh, Pennsylvania, USA",http://ufcstats.com/event-details/d56bb6dff2ae77eb
2016-02-27,UFC Fight Night: Silva vs Bisping,"London, England, United Kingdom",http://ufcstats.com/event-details/39c568f8c579913e
2016-03-05,UFC 196: McGregor vs Diaz,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/db1f2ed63b54b9a7
2016-03-19,UFC Fight Night: Hunt vs Mir,"Brisbane, Queensland, Australia",http://ufcstats.com/event-details/e60201cfab7d656d
2016-04-10,UFC Fight Night: Rothwell vs Dos Santos,"Zagreb, Croatia",http://ufcstats.com/event-details/4887e5bc4dbb73ff
2016-04-16,UFC on FOX: Teixeira vs Evans,"Tampa, Florida, USA",http://ufcstats.com/event-details/e7e970d508529bf3
2016-04-23,UFC 197: Jones vs Saint Preux,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3d481aa374c954a1
2016-05-08,UFC Fight Night: Overeem vs Arlovski,"Rotterdam, Zuid-Holland, Netherlands",http://ufcstats.com/event-details/a314687f372b2cec
2016-05-14,UFC 198: Werdum vs Miocic,"Curitiba, Parana, Brazil",http://ufcstats.com/event-details/a4bf17bd3ba3423b
2016-05-29,UFC Fight Night: Almeida vs Garbrandt,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/990060b2a68a7b82
2016-06-04,UFC 199: Rockhold vs. Bisping 2,"Los Angeles, California, USA",http://ufcstats.com/event-details/ff4c3ab594c7fac3
2016-06-18,UFC Fight Night: MacDonald vs Thompson,"Ottawa, Ontario, Canada",http://ufcstats.com/event-details/563d051c9e769b24
2016-07-07,UFC Fight Night: Dos Anjos vs. Alvarez,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/45a2ba3ef82b9700
2016-07-08,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/cd42bbe8887bba90
2016-07-09,UFC 200: Tate vs Nunes,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/aa5b4eff51bdc7d1
2016-07-13,UFC Fight Night: McDonald vs. Lineker,"Sioux Falls, South Dakota, USA",http://ufcstats.com/event-details/5e7a28f20927d64a
2016-07-23,UFC on FOX: Holm vs. Shevchenko,"Chicago, Illinois, USA",http://ufcstats.com/event-details/8a028648f3f0761d
2016-07-30,UFC 201: Lawler vs. Woodley,"Atlanta, Georgia, USA",http://ufcstats.com/event-details/72cbe507644a587c
2016-08-06,UFC Fight Night: Rodriguez vs. Caceres,"Salt Lake City, Utah, USA",http://ufcstats.com/event-details/232c582f29f8f65e
2016-08-20,UFC 202: Diaz vs. McGregor 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5da4e8dc02e50ac0
2016-08-27,UFC on FOX: Maia vs. Condit,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/cfbccfed4e4796fe
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,"Hamburg, Hamburg, Germany",http://ufcstats.com/event-details/2b4faacc16d66898
2016-09-10,UFC 203: Miocic vs. Overeem,"Cleveland, Ohio, USA",http://ufcstats.com/event-details/2dc7f1762dc0a7ef
2016-09-17,UFC Fight Night: Poirier vs. Johnson,"Hidalgo, Texas, USA",http://ufcstats.com/event-details/d6455cb4bee503ce
2016-09-24,UFC Fight Night: Cyborg vs. Lansberg,"Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/e18012194473e8b0
2016-10-01,UFC Fight Night: Lineker vs. Dodson,"Portland, Oregon, USA",http://ufcstats.com/event-details/a196332ee4aa8a82
2016-10-08,UFC 204: Bisping vs. Henderson,"Manchester, England, United Kingdom",http://ufcstats.com/event-details/154a6b3ffae264cd
2016-11-05,UFC Fight Night: Dos Anjos vs. Ferguson,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075
2016-11-12,UFC 205: Alvarez vs McGregor,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a
2016-11-19,UFC Fight Night: Mousasi vs. Hall 2,"Belfast, Northern Ireland, United Kingdom",http://ufcstats.com/event-details/6810d8d2dd557cf9
2016-11-19,UFC Fight Night: Bader vs. Nogueira,"Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/5cde96e0a1a1fffe
2016-11-26,UFC Fight Night: Whittaker vs. Brunson,"Melbourne, Victoria, Australia",http://ufcstats.com/event-details/73e09f837f3b5ecc
2016-12-03,The Ultimate Fighter: Tournament of Champions Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bd4389b71fdc0ce2
2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",http://ufcstats.com/event-details/7139cd2ae4bf6a29
2016-12-10,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/6e3282d57d2467a0
2016-12-17,UFC on FOX: VanZant vs. Waterson,"Sacramento, California, USA",http://ufcstats.com/event-details/32541eb5d12668b4
2016-12-30,UFC 207: Nunes vs. Rousey,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4b2390cfaceb91d8
2017-01-15,UFC Fight Night: Rodriguez vs. Penn,"Phoenix, Arizona, USA",http://ufcstats.com/event-details/46effbd1135423c5
2017-01-28,UFC on FOX: Shevchenko vs. Pena,"Denver, Colorado, USA",http://ufcstats.com/event-details/4512e46543b960ad
2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,"Houston, Texas, USA",http://ufcstats.com/event-details/6a8a06b542e1516d
2017-02-11,UFC 208: Holm vs. De Randamie,"Brooklyn, New York, USA",http://ufcstats.com/event-details/865aa315ea62c511
2017-02-19,UFC Fight Night: Lewis vs. Browne,"Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/b4ad3a06ee4d660c
2017-03-04,UFC 209: Woodley vs. Thompson 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/20e403a1acfef130
2017-03-11,UFC Fight Night: Belfort vs. Gastelum,"Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/47b7e4e60813b7b2
2017-03-18,UFC Fight Night: Manuwa vs. Anderson,"London, England, United Kingdom",http://ufcstats.com/event-details/c0231720fe516994
2017-04-08,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",http://ufcstats.com/event-details/e7bfdb5e0112891e
2017-04-15,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",http://ufcstats.com/event-details/ed069a95aaaf4f56
2017-04-22,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/bc7f7f0ba3db74d2
2017-05-13,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",http://ufcstats.com/event-details/5df10509264586e5
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",http://ufcstats.com/event-details/1c7cce2f5c17160d
2017-06-03,UFC 212: Aldo vs. Holloway,"Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/1507214bbc7a79e2
2017-06-10,UFC Fight Night: Lewis vs. Hunt,"Auckland, New Zealand",http://ufcstats.com/event-details/90e7447d8b7f3f35
2017-06-17,UFC Fight Night: Holm vs. Correia,"Kallang, Singapore",http://ufcstats.com/event-details/353de740bb6c7e75
2017-06-25,UFC Fight Night: Chiesa vs. Lee,"Oklahoma City, Oklahoma, USA",http://ufcstats.com/event-details/99bf06f20491cb54
2017-07-07,The Ultimate Fighter: Redemption Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/23bd78c3f89bdb54
2017-07-08,UFC 213: Romero vs. Whittaker,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/686cccbf1a4de453
2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,"Glasgow, Scotland, United Kingdom",http://ufcstats.com/event-details/d7907a9a968e4d29
2017-07-22,UFC Fight Night: Weidman vs. Gastelum,"Uniondale, New York, USA",http://ufcstats.com/event-details/9f3d6ddef3d3cccc
2017-07-29,UFC 214: Cormier vs. Jones 2,"Anaheim, California, USA",http://ufcstats.com/event-details/ff9578cdbfabd323
2017-08-05,UFC Fight Night: Pettis vs. Moreno,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/f4a031ac205ac580
2017-09-02,UFC Fight Night: Volkov vs. Struve,"Rotterdam, Zuid-Holland, Netherlands",http://ufcstats.com/event-details/a3244e3238541482
2017-09-09,UFC 215: Nunes vs Shevchenko 2,"Edmonton, Alberta, Canada",http://ufcstats.com/event-details/d86e913c548c07c2
2017-09-16,UFC Fight Night: Rockhold vs. Branch,"Pittsburgh, Pennsylvania, USA",http://ufcstats.com/event-details/1979c80150f630c4
2017-09-22,UFC Fight Night: Saint Preux vs. Okami,"Saitama, Saitama, Japan",http://ufcstats.com/event-details/9211aae062b799d6
2017-10-07,UFC 216: Ferguson vs. Lee,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/cc5834a495d1ea08
2017-10-21,UFC Fight Night: Cerrone vs. Till,"Gdansk, Poland",http://ufcstats.com/event-details/d6b68eaf4b68b160
2017-10-28,UFC Fight Night: Brunson vs. Machida,"Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/a7724f51e32e763e
2017-11-04,UFC 217: Bisping vs. St-Pierre,"New York City, New York, USA",http://ufcstats.com/event-details/a25b71fe5e31fa97
2017-11-11,UFC Fight Night: Poirier vs. Pettis,"Norfolk, Virginia, USA",http://ufcstats.com/event-details/d856a0080ac09ed7
2017-11-18,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/caced97768818230
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",http://ufcstats.com/event-details/e7bc606d269896aa
2017-12-01,The Ultimate Fighter: A New World Champion Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/30e8b4505f5ccf92
